-10,00	100,00
-9,90	98,01
-9,80	96,04
-9,70	94,09
-9,60	92,16
-9,50	90,25
-9,40	88,36
-9,30	86,49
-9,20	84,64
-9,10	82,81
-9,00	81,00
-8,90	79,21
-8,80	77,44
-8,70	75,69
-8,60	73,96
-8,50	72,25
-8,40	70,56
-8,30	68,89
-8,20	67,24
-8,10	65,61
-8,00	64,00
-7,90	62,41
-7,80	60,84
-7,70	59,29
-7,60	57,76
-7,50	56,25
-7,40	54,76
-7,30	53,29
-7,20	51,84
-7,10	50,41
-7,00	49,00
-6,90	47,61
-6,80	46,24
-6,70	44,89
-6,60	43,56
-6,50	42,25
-6,40	40,96
-6,30	39,69
-6,20	38,44
-6,10	37,21
-6,00	36,00
-5,90	34,81
-5,80	33,64
-5,70	32,49
-5,60	31,36
-5,50	30,25
-5,40	29,16
-5,30	28,09
-5,20	27,04
-5,10	26,01
-5,00	25,00
-4,90	24,01
-4,80	23,04
-4,70	22,09
-4,60	21,16
-4,50	20,25
-4,40	19,36
-4,30	18,49
-4,20	17,64
-4,10	16,81
-4,00	16,00
-3,90	15,21
-3,80	14,44
-3,70	13,69
-3,60	12,96
-3,50	12,25
-3,40	11,56
-3,30	10,89
-3,20	10,24
-3,10	9,61
-3,00	9,00
-2,90	8,41
-2,80	7,84
-2,70	7,29
-2,60	6,76
-2,50	6,25
-2,40	5,76
-2,30	5,29
-2,20	4,84
-2,10	4,41
-2,00	4,00
-1,90	3,61
-1,80	3,24
-1,70	2,89
-1,60	2,56
-1,50	2,25
-1,40	1,96
-1,30	1,69
-1,20	1,44
-1,10	1,21
-1,00	1,00
-0,90	0,81
-0,80	0,64
-0,70	0,49
-0,60	0,36
-0,50	0,25
-0,40	0,16
-0,30	0,09
-0,20	0,04
-0,10	0,01
0,00	0,00
0,10	0,01
0,20	0,04
0,30	0,09
0,40	0,16
0,50	0,25
0,60	0,36
0,70	0,49
0,80	0,64
0,90	0,81
1,00	1,00
1,10	1,21
1,20	1,44
1,30	1,69
1,40	1,96
1,50	2,25
1,60	2,56
1,70	2,89
1,80	3,24
1,90	3,61
2,00	4,00
2,10	4,41
2,20	4,84
2,30	5,29
2,40	5,76
2,50	6,25
2,60	6,76
2,70	7,29
2,80	7,84
2,90	8,41
3,00	9,00
3,10	9,61
3,20	10,24
3,30	10,89
3,40	11,56
3,50	12,25
3,60	12,96
3,70	13,69
3,80	14,44
3,90	15,21
4,00	16,00
4,10	16,81
4,20	17,64
4,30	18,49
4,40	19,36
4,50	20,25
4,60	21,16
4,70	22,09
4,80	23,04
4,90	24,01
5,00	25,00
5,10	26,01
5,20	27,04
5,30	28,09
5,40	29,16
5,50	30,25
5,60	31,36
5,70	32,49
5,80	33,64
5,90	34,81
6,00	36,00
6,10	37,21
6,20	38,44
6,30	39,69
6,40	40,96
6,50	42,25
6,60	43,56
6,70	44,89
6,80	46,24
6,90	47,61
7,00	49,00
7,10	50,41
7,20	51,84
7,30	53,29
7,40	54,76
7,50	56,25
7,60	57,76
7,70	59,29
7,80	60,84
7,90	62,41
8,00	64,00
8,10	65,61
8,20	67,24
8,30	68,89
8,40	70,56
8,50	72,25
8,60	73,96
8,70	75,69
8,80	77,44
8,90	79,21
9,00	81,00
9,10	82,81
9,20	84,64
9,30	86,49
9,40	88,36
9,50	90,25
9,60	92,16
9,70	94,09
9,80	96,04
9,90	98,01
